distribution,geography,category,code,bin_start,bin_end,weighted_pct,cum_pct,unweighted_n
usual_commute_mode,National,Ride-hail,16,,,0.5306,95.4564,35
usual_commute_mode,National,Paratransit,17,,,0.087,95.5434,4
usual_commute_mode,National,Bicycle,18,,,1.0159,96.5593,77
usual_commute_mode,National,E-scooter,19,,,0.0052,96.5645,1
usual_commute_mode,National,Walk,20,,,2.9263,99.4908,163
usual_commute_mode,National,Other,21,,,0.4638,99.9546,25
usual_commute_mode,National,Ferry,22,,,0.0454,100.0,3
usual_commute_mode,Pacific,Car,1,,,60.6925,60.6925,499
usual_commute_mode,Pacific,Van,2,,,3.1819,63.8744,23
usual_commute_mode,Pacific,SUV/Crossover,3,,,14.9323,78.8067,155
usual_commute_mode,Pacific,Pickup,4,,,8.0682,86.875,76
usual_commute_mode,Pacific,Motorcycle,7,,,0.1296,87.0046,2
usual_commute_mode,Pacific,Public/commuter bus,8,,,3.0824,90.087,27
usual_commute_mode,Pacific,School bus,9,,,0.2979,90.3849,1
usual_commute_mode,Pacific,Subway/rail,11,,,1.1425,91.5274,11
usual_commute_mode,Pacific,Commuter rail,12,,,0.562,92.0893,5
usual_commute_mode,Pacific,Ride-hail,16,,,0.7202,92.8095,10
usual_commute_mode,Pacific,Bicycle,18,,,2.8692,95.6787,24
usual_commute_mode,Pacific,Walk,20,,,3.5793,99.258,26
usual_commute_mode,Pacific,Other,21,,,0.6243,99.8823,4
usual_commute_mode,Pacific,Ferry,22,,,0.1177,100.0,1
usual_commute_mode,PacRailMetro,Car,1,,,62.7896,62.7896,218
usual_commute_mode,PacRailMetro,Van,2,,,5.1575,67.9471,8
usual_commute_mode,PacRailMetro,SUV/Crossover,3,,,16.5075,84.4546,57
usual_commute_mode,PacRailMetro,Pickup,4,,,2.1209,86.5755,12
usual_commute_mode,PacRailMetro,Motorcycle,7,,,0.1974,86.7729,1
usual_commute_mode,PacRailMetro,Public/commuter bus,8,,,3.0525,89.8254,9
usual_commute_mode,PacRailMetro,School bus,9,,,0.6846,90.51,1
usual_commute_mode,PacRailMetro,Subway/rail,11,,,2.2843,92.7942,10
usual_commute_mode,PacRailMetro,Commuter rail,12,,,0.4459,93.2402,2
usual_commute_mode,PacRailMetro,Ride-hail,16,,,1.3675,94.6077,6
usual_commute_mode,PacRailMetro,Bicycle,18,,,1.5543,96.162,7
usual_commute_mode,PacRailMetro,Walk,20,,,2.6224,98.7844,6
usual_commute_mode,PacRailMetro,Other,21,,,1.2156,100.0,3
vehicle_ownership_workerHH,National,0 (no vehicle),0,,,5.5867,5.5867,224
vehicle_ownership_workerHH,National,1,1,,,27.6213,33.2081,1433
vehicle_ownership_workerHH,National,2,2,,,41.5555,74.7636,2219
vehicle_ownership_workerHH,National,3,3,,,16.0559,90.8195,809
vehicle_ownership_workerHH,National,4,4,,,6.1278,96.9473,295
vehicle_ownership_workerHH,National,5+,5,,,3.0527,100.0,155
vehicle_ownership_workerHH,Pacific,0 (no vehicle),0,,,3.7454,3.7454,23
vehicle_ownership_workerHH,Pacific,1,1,,,29.7018,33.4472,224
vehicle_ownership_workerHH,Pacific,2,2,,,37.2954,70.7426,300
vehicle_ownership_workerHH,Pacific,3,3,,,17.2134,87.9559,116
vehicle_ownership_workerHH,Pacific,4,4,,,7.8649,95.8209,49
vehicle_ownership_workerHH,Pacific,5+,5,,,4.1791,100.0,34
vehicle_ownership_workerHH,PacRailMetro,0 (no vehicle),0,,,3.1817,3.1817,9
vehicle_ownership_workerHH,PacRailMetro,1,1,,,32.9438,36.1254,97
vehicle_ownership_workerHH,PacRailMetro,2,2,,,39.0657,75.1911,119
vehicle_ownership_workerHH,PacRailMetro,3,3,,,16.7713,91.9624,43
vehicle_ownership_workerHH,PacRailMetro,4,4,,,5.0052,96.9676,13
vehicle_ownership_workerHH,PacRailMetro,5+,5,,,3.0324,100.0,10
vehicle_type,National,Car/Sedan/Wagon,1,,,44.6005,44.6005,6382
vehicle_type,National,Van,2,,,4.7452,49.3457,671
vehicle_type,National,SUV/Crossover,3,,,30.1621,79.5078,4562
vehicle_type,National,Pickup,4,,,16.0533,95.5611,2393
vehicle_type,National,Other truck,5,,,0.6261,96.1872,81
vehicle_type,National,RV,6,,,0.5859,96.7731,112
vehicle_type,National,Motorcycle,7,,,2.8862,99.6593,430
vehicle_type,National,Other,97,,,0.3407,100.0,53
vehicle_fuel,National,Gas,1,,,92.4677,92.4677,13485
vehicle_fuel,National,Diesel,2,,,2.3645,94.8322,384
vehicle_fuel,National,Biodiesel,3,,,0.0712,94.9034,6
vehicle_fuel,National,Plug-in hybrid (PHEV),4,,,0.4939,95.3972,80
vehicle_fuel,National,Electric only (BEV),5,,,1.2476,96.6449,186
vehicle_fuel,National,Hybrid non-plugin (HEV),6,,,3.0413,99.6861,477
vehicle_fuel,National,Other fuel,97,,,0.3139,100.0,34
vehicle_type,Pacific,Car/Sedan/Wagon,1,,,52.6975,52.6975,1099
vehicle_type,Pacific,Van,2,,,4.8688,57.5664,96
vehicle_type,Pacific,SUV/Crossover,3,,,25.0424,82.6088,570
vehicle_type,Pacific,Pickup,4,,,13.4612,96.07,305
vehicle_type,Pacific,Other truck,5,,,0.081,96.1511,2
vehicle_type,Pacific,RV,6,,,0.7374,96.8884,24
vehicle_type,Pacific,Motorcycle,7,,,2.7477,99.6361,63
vehicle_type,Pacific,Other,97,,,0.3639,100.0,8
vehicle_fuel,Pacific,Gas,1,,,86.5292,86.5292,1870
vehicle_fuel,Pacific,Diesel,2,,,3.0161,89.5453,66
vehicle_fuel,Pacific,Biodiesel,3,,,0.1918,89.7371,2
vehicle_fuel,Pacific,Plug-in hybrid (PHEV),4,,,0.9726,90.7097,24
vehicle_fuel,Pacific,Electric only (BEV),5,,,3.4058,94.1155,71
vehicle_fuel,Pacific,Hybrid non-plugin (HEV),6,,,5.5698,99.6853,124
vehicle_fuel,Pacific,Other fuel,97,,,0.3147,100.0,6
vehicle_type,PacRailMetro,Car/Sedan/Wagon,1,,,58.489,58.489,432
vehicle_type,PacRailMetro,Van,2,,,4.6306,63.1195,30
vehicle_type,PacRailMetro,SUV/Crossover,3,,,25.0822,88.2017,181
vehicle_type,PacRailMetro,Pickup,4,,,7.5129,95.7146,56
vehicle_type,PacRailMetro,RV,6,,,0.5388,96.2534,7
vehicle_type,PacRailMetro,Motorcycle,7,,,3.4929,99.7464,20
vehicle_type,PacRailMetro,Other,97,,,0.2536,100.0,3
vehicle_fuel,PacRailMetro,Gas,1,,,86.1066,86.1066,621
vehicle_fuel,PacRailMetro,Diesel,2,,,1.6096,87.7162,13
vehicle_fuel,PacRailMetro,Plug-in hybrid (PHEV),4,,,1.4351,89.1513,13
vehicle_fuel,PacRailMetro,Electric only (BEV),5,,,4.6336,93.7849,34
vehicle_fuel,PacRailMetro,Hybrid non-plugin (HEV),6,,,6.0054,99.7903,44
vehicle_fuel,PacRailMetro,Other fuel,97,,,0.2097,100.0,2
HW_departure_15min,National,00:00-00:15,,0.0,15.0,0.0,0.0,0
HW_departure_15min,National,00:15-00:30,,15.0,30.0,0.0,0.0,0
HW_departure_15min,National,00:30-00:45,,30.0,45.0,0.0,0.0,0
HW_departure_15min,National,00:45-01:00,,45.0,60.0,0.0,0.0,0
HW_departure_15min,National,01:00-01:15,,60.0,75.0,0.0,0.0,0
HW_departure_15min,National,01:15-01:30,,75.0,90.0,0.0,0.0,0
HW_departure_15min,National,01:30-01:45,,90.0,105.0,0.0,0.0,0
HW_departure_15min,National,01:45-02:00,,105.0,120.0,0.0,0.0,0
HW_departure_15min,National,02:00-02:15,,120.0,135.0,0.0,0.0,0
HW_departure_15min,National,02:15-02:30,,135.0,150.0,0.0,0.0,0
HW_departure_15min,National,02:30-02:45,,150.0,165.0,0.0,0.0,0
HW_departure_15min,National,02:45-03:00,,165.0,180.0,0.0,0.0,0
HW_departure_15min,National,03:00-03:15,,180.0,195.0,0.0844,0.0844,1
HW_departure_15min,National,03:15-03:30,,195.0,210.0,0.0241,0.1086,1
HW_departure_15min,National,03:30-03:45,,210.0,225.0,0.0707,0.1792,2
HW_departure_15min,National,03:45-04:00,,225.0,240.0,0.0,0.1792,0
HW_departure_15min,National,04:00-04:15,,240.0,255.0,0.3697,0.549,6
HW_departure_15min,National,04:15-04:30,,255.0,270.0,0.1604,0.7094,6
HW_departure_15min,National,04:30-04:45,,270.0,285.0,1.0987,1.8081,22
HW_departure_15min,National,04:45-05:00,,285.0,300.0,1.0317,2.8398,16
HW_departure_15min,National,05:00-05:15,,300.0,315.0,3.0438,5.8836,49
HW_departure_15min,National,05:15-05:30,,315.0,330.0,1.4067,7.2903,27
HW_departure_15min,National,05:30-05:45,,330.0,345.0,4.6091,11.8994,75
HW_departure_15min,National,05:45-06:00,,345.0,360.0,2.49,14.3894,51
HW_departure_15min,National,06:00-06:15,,360.0,375.0,4.3395,18.7289,92
HW_departure_15min,National,06:15-06:30,,375.0,390.0,3.3304,22.0593,53
HW_departure_15min,National,06:30-06:45,,390.0,405.0,6.5641,28.6234,127
HW_departure_15min,National,06:45-07:00,,405.0,420.0,3.4642,32.0876,84
HW_departure_15min,National,07:00-07:15,,420.0,435.0,9.7039,41.7915,198
HW_departure_15min,National,07:15-07:30,,435.0,450.0,4.9041,46.6957,108
HW_departure_15min,National,07:30-07:45,,450.0,465.0,8.1878,54.8835,186
HW_departure_15min,National,07:45-08:00,,465.0,480.0,4.8709,59.7544,102
HW_departure_15min,National,08:00-08:15,,480.0,495.0,7.1228,66.8772,161
HW_departure_15min,National,08:15-08:30,,495.0,510.0,3.202,70.0792,66
HW_departure_15min,National,08:30-08:45,,510.0,525.0,4.2833,74.3625,102
HW_departure_15min,National,08:45-09:00,,525.0,540.0,1.8581,76.2206,42
HW_departure_15min,National,09:00-09:15,,540.0,555.0,2.9046,79.1252,69
HW_departure_15min,National,09:15-09:30,,555.0,570.0,1.047,80.1722,22
HW_departure_15min,National,09:30-09:45,,570.0,585.0,1.5511,81.7233,34
HW_departure_15min,National,09:45-10:00,,585.0,600.0,0.7913,82.5146,14
HW_departure_15min,National,10:00-10:15,,600.0,615.0,1.225,83.7396,30
HW_departure_15min,National,10:15-10:30,,615.0,630.0,0.488,84.2277,10
HW_departure_15min,National,10:30-10:45,,630.0,645.0,1.1687,85.3964,25
HW_departure_15min,National,10:45-11:00,,645.0,660.0,0.5699,85.9663,9
HW_departure_15min,National,11:00-11:15,,660.0,675.0,0.683,86.6493,14
HW_departure_15min,National,11:15-11:30,,675.0,690.0,0.2811,86.9304,5
HW_departure_15min,National,11:30-11:45,,690.0,705.0,0.3762,87.3066,14
HW_departure_15min,National,11:45-12:00,,705.0,720.0,0.4432,87.7498,6
HW_departure_15min,National,12:00-12:15,,720.0,735.0,0.5128,88.2626,15
HW_departure_15min,National,12:15-12:30,,735.0,750.0,0.5395,88.8021,6
HW_departure_15min,National,12:30-12:45,,750.0,765.0,0.5989,89.401,15
HW_departure_15min,National,12:45-13:00,,765.0,780.0,0.3278,89.7288,11
HW_departure_15min,National,13:00-13:15,,780.0,795.0,0.6471,90.376,12
HW_departure_15min,National,13:15-13:30,,795.0,810.0,0.1309,90.5069,6
HW_departure_15min,National,13:30-13:45,,810.0,825.0,0.8761,91.383,13
HW_departure_15min,National,13:45-14:00,,825.0,840.0,0.7841,92.167,17
HW_departure_15min,National,14:00-14:15,,840.0,855.0,0.5345,92.7015,13
HW_departure_15min,National,14:15-14:30,,855.0,870.0,0.1563,92.8579,5
HW_departure_15min,National,14:30-14:45,,870.0,885.0,0.4418,93.2997,13
HW_departure_15min,National,14:45-15:00,,885.0,900.0,0.3126,93.6123,7
HW_departure_15min,National,15:00-15:15,,900.0,915.0,0.1806,93.7929,5
HW_departure_15min,National,15:15-15:30,,915.0,930.0,0.5071,94.3,3
HW_departure_15min,National,15:30-15:45,,930.0,945.0,0.5993,94.8993,11
HW_departure_15min,National,15:45-16:00,,945.0,960.0,0.6212,95.5206,6
HW_departure_15min,National,16:00-16:15,,960.0,975.0,0.3661,95.8867,6
HW_departure_15min,National,16:15-16:30,,975.0,990.0,0.0498,95.9366,2
HW_departure_15min,National,16:30-16:45,,990.0,1005.0,0.1723,96.1088,5
HW_departure_15min,National,16:45-17:00,,1005.0,1020.0,0.5258,96.6347,6
HW_departure_15min,National,17:00-17:15,,1020.0,1035.0,0.1149,96.7495,2
HW_departure_15min,National,17:15-17:30,,1035.0,1050.0,0.1313,96.8809,5
HW_departure_15min,National,17:30-17:45,,1050.0,1065.0,0.2581,97.139,5
HW_departure_15min,National,17:45-18:00,,1065.0,1080.0,0.0499,97.1889,2
HW_departure_15min,National,18:00-18:15,,1080.0,1095.0,0.4294,97.6183,7
HW_departure_15min,National,18:15-18:30,,1095.0,1110.0,0.0763,97.6946,3
HW_departure_15min,National,18:30-18:45,,1110.0,1125.0,0.2439,97.9386,7
HW_departure_15min,National,18:45-19:00,,1125.0,1140.0,0.1111,98.0497,3
HW_departure_15min,National,19:00-19:15,,1140.0,1155.0,0.1804,98.2301,3
HW_departure_15min,National,19:15-19:30,,1155.0,1170.0,0.2257,98.4558,3
HW_departure_15min,National,19:30-19:45,,1170.0,1185.0,0.0429,98.4987,1
HW_departure_15min,National,19:45-20:00,,1185.0,1200.0,0.0451,98.5438,2
HW_departure_15min,National,20:00-20:15,,1200.0,1215.0,0.1731,98.7169,3
HW_departure_15min,National,20:15-20:30,,1215.0,1230.0,0.0,98.7169,0
HW_departure_15min,National,20:30-20:45,,1230.0,1245.0,0.0324,98.7493,2
HW_departure_15min,National,20:45-21:00,,1245.0,1260.0,0.2237,98.973,3
HW_departure_15min,National,21:00-21:15,,1260.0,1275.0,0.2532,99.2263,3
HW_departure_15min,National,21:15-21:30,,1275.0,1290.0,0.0,99.2263,0
HW_departure_15min,National,21:30-21:45,,1290.0,1305.0,0.1796,99.4058,4
HW_departure_15min,National,21:45-22:00,,1305.0,1320.0,0.0994,99.5052,3
HW_departure_15min,National,22:00-22:15,,1320.0,1335.0,0.021,99.5262,1
HW_departure_15min,National,22:15-22:30,,1335.0,1350.0,0.0252,99.5514,1
HW_departure_15min,National,22:30-22:45,,1350.0,1365.0,0.2544,99.8058,3
HW_departure_15min,National,22:45-23:00,,1365.0,1380.0,0.1001,99.9059,2
HW_departure_15min,National,23:00-23:15,,1380.0,1395.0,0.0,99.9059,0
HW_departure_15min,National,23:15-23:30,,1395.0,1410.0,0.0941,100.0,2
HW_departure_15min,National,23:30-23:45,,1410.0,1425.0,0.0,100.0,0
HW_departure_15min,National,23:45-24:00,,1425.0,1440.0,0.0,100.0,0
HW_arrival_15min,National,00:00-00:15,,0.0,15.0,0.0,0.0,0
HW_arrival_15min,National,00:15-00:30,,15.0,30.0,0.0,0.0,0
HW_arrival_15min,National,00:30-00:45,,30.0,45.0,0.0,0.0,0
HW_arrival_15min,National,00:45-01:00,,45.0,60.0,0.0,0.0,0
HW_arrival_15min,National,01:00-01:15,,60.0,75.0,0.0,0.0,0
HW_arrival_15min,National,01:15-01:30,,75.0,90.0,0.0,0.0,0
HW_arrival_15min,National,01:30-01:45,,90.0,105.0,0.0,0.0,0
HW_arrival_15min,National,01:45-02:00,,105.0,120.0,0.0,0.0,0
HW_arrival_15min,National,02:00-02:15,,120.0,135.0,0.0,0.0,0
HW_arrival_15min,National,02:15-02:30,,135.0,150.0,0.0,0.0,0
HW_arrival_15min,National,02:30-02:45,,150.0,165.0,0.0,0.0,0
HW_arrival_15min,National,02:45-03:00,,165.0,180.0,0.0,0.0,0
HW_arrival_15min,National,03:00-03:15,,180.0,195.0,0.0589,0.0589,1
HW_arrival_15min,National,03:15-03:30,,195.0,210.0,0.0,0.0589,0
HW_arrival_15min,National,03:30-03:45,,210.0,225.0,0.0844,0.1433,1
HW_arrival_15min,National,03:45-04:00,,225.0,240.0,0.0948,0.2381,3
HW_arrival_15min,National,04:00-04:15,,240.0,255.0,0.134,0.3721,1
HW_arrival_15min,National,04:15-04:30,,255.0,270.0,0.1321,0.5042,3
HW_arrival_15min,National,04:30-04:45,,270.0,285.0,0.2669,0.7711,5
HW_arrival_15min,National,04:45-05:00,,285.0,300.0,0.7251,1.4963,15
HW_arrival_15min,National,05:00-05:15,,300.0,315.0,0.8421,2.3384,15
HW_arrival_15min,National,05:15-05:30,,315.0,330.0,0.735,3.0734,14
HW_arrival_15min,National,05:30-05:45,,330.0,345.0,2.0238,5.0971,31
HW_arrival_15min,National,05:45-06:00,,345.0,360.0,3.194,8.2912,61
HW_arrival_15min,National,06:00-06:15,,360.0,375.0,4.6091,12.9003,76
HW_arrival_15min,National,06:15-06:30,,375.0,390.0,2.3927,15.293,53
HW_arrival_15min,National,06:30-06:45,,390.0,405.0,3.6327,18.9256,71
HW_arrival_15min,National,06:45-07:00,,405.0,420.0,5.4865,24.4122,105
HW_arrival_15min,National,07:00-07:15,,420.0,435.0,6.1673,30.5795,120
HW_arrival_15min,National,07:15-07:30,,435.0,450.0,6.0225,36.602,119
HW_arrival_15min,National,07:30-07:45,,450.0,465.0,5.7594,42.3614,134
HW_arrival_15min,National,07:45-08:00,,465.0,480.0,7.7465,50.1078,177
HW_arrival_15min,National,08:00-08:15,,480.0,495.0,8.1358,58.2437,185
HW_arrival_15min,National,08:15-08:30,,495.0,510.0,4.55,62.7936,97
HW_arrival_15min,National,08:30-08:45,,510.0,525.0,4.1526,66.9462,95
HW_arrival_15min,National,08:45-09:00,,525.0,540.0,4.3188,71.265,91
HW_arrival_15min,National,09:00-09:15,,540.0,555.0,4.5778,75.8428,100
HW_arrival_15min,National,09:15-09:30,,555.0,570.0,1.9081,77.751,46
HW_arrival_15min,National,09:30-09:45,,570.0,585.0,1.5556,79.3066,36
HW_arrival_15min,National,09:45-10:00,,585.0,600.0,1.5871,80.8937,28
HW_arrival_15min,National,10:00-10:15,,600.0,615.0,1.6528,82.5465,30
HW_arrival_15min,National,10:15-10:30,,615.0,630.0,0.7337,83.2802,19
HW_arrival_15min,National,10:30-10:45,,630.0,645.0,0.7399,84.02,21
HW_arrival_15min,National,10:45-11:00,,645.0,660.0,1.1255,85.1455,18
HW_arrival_15min,National,11:00-11:15,,660.0,675.0,1.0076,86.1531,21
HW_arrival_15min,National,11:15-11:30,,675.0,690.0,0.2959,86.4489,6
HW_arrival_15min,National,11:30-11:45,,690.0,705.0,0.2838,86.7327,8
HW_arrival_15min,National,11:45-12:00,,705.0,720.0,0.1797,86.9124,8
HW_arrival_15min,National,12:00-12:15,,720.0,735.0,0.5933,87.5057,14
HW_arrival_15min,National,12:15-12:30,,735.0,750.0,0.2904,87.7961,8
HW_arrival_15min,National,12:30-12:45,,750.0,765.0,0.8365,88.6327,12
HW_arrival_15min,National,12:45-13:00,,765.0,780.0,0.4546,89.0872,10
HW_arrival_15min,National,13:00-13:15,,780.0,795.0,0.6824,89.7696,16
HW_arrival_15min,National,13:15-13:30,,795.0,810.0,0.2586,90.0282,7
HW_arrival_15min,National,13:30-13:45,,810.0,825.0,0.3811,90.4092,9
HW_arrival_15min,National,13:45-14:00,,825.0,840.0,0.6589,91.0682,15
HW_arrival_15min,National,14:00-14:15,,840.0,855.0,1.2542,92.3224,23
HW_arrival_15min,National,14:15-14:30,,855.0,870.0,0.0863,92.4087,2
HW_arrival_15min,National,14:30-14:45,,870.0,885.0,0.273,92.6817,10
HW_arrival_15min,National,14:45-15:00,,885.0,900.0,0.256,92.9377,6
HW_arrival_15min,National,15:00-15:15,,900.0,915.0,0.6265,93.5642,14
HW_arrival_15min,National,15:15-15:30,,915.0,930.0,0.0653,93.6295,4
HW_arrival_15min,National,15:30-15:45,,930.0,945.0,0.4076,94.0371,5
HW_arrival_15min,National,15:45-16:00,,945.0,960.0,1.1606,95.1978,13
HW_arrival_15min,National,16:00-16:15,,960.0,975.0,0.4581,95.6559,6
HW_arrival_15min,National,16:15-16:30,,975.0,990.0,0.0414,95.6973,3
HW_arrival_15min,National,16:30-16:45,,990.0,1005.0,0.2127,95.91,3
HW_arrival_15min,National,16:45-17:00,,1005.0,1020.0,0.1532,96.0632,5
HW_arrival_15min,National,17:00-17:15,,1020.0,1035.0,0.5715,96.6347,7
HW_arrival_15min,National,17:15-17:30,,1035.0,1050.0,0.1775,96.8122,3
HW_arrival_15min,National,17:30-17:45,,1050.0,1065.0,0.0182,96.8304,1
HW_arrival_15min,National,17:45-18:00,,1065.0,1080.0,0.1693,96.9997,4
HW_arrival_15min,National,18:00-18:15,,1080.0,1095.0,0.3791,97.3789,7
HW_arrival_15min,National,18:15-18:30,,1095.0,1110.0,0.0607,97.4396,3
HW_arrival_15min,National,18:30-18:45,,1110.0,1125.0,0.1301,97.5696,3
HW_arrival_15min,National,18:45-19:00,,1125.0,1140.0,0.1032,97.6728,5
HW_arrival_15min,National,19:00-19:15,,1140.0,1155.0,0.3769,98.0497,8
HW_arrival_15min,National,19:15-19:30,,1155.0,1170.0,0.1804,98.2301,3
HW_arrival_15min,National,19:30-19:45,,1170.0,1185.0,0.2257,98.4558,3
HW_arrival_15min,National,19:45-20:00,,1185.0,1200.0,0.0348,98.4906,1
HW_arrival_15min,National,20:00-20:15,,1200.0,1215.0,0.0289,98.5195,2
HW_arrival_15min,National,20:15-20:30,,1215.0,1230.0,0.1754,98.6948,2
HW_arrival_15min,National,20:30-20:45,,1230.0,1245.0,0.022,98.7169,1
HW_arrival_15min,National,20:45-21:00,,1245.0,1260.0,0.1813,98.8982,2
HW_arrival_15min,National,21:00-21:15,,1260.0,1275.0,0.0748,98.973,3
HW_arrival_15min,National,21:15-21:30,,1275.0,1290.0,0.2532,99.2263,3
HW_arrival_15min,National,21:30-21:45,,1290.0,1305.0,0.0,99.2263,0
HW_arrival_15min,National,21:45-22:00,,1305.0,1320.0,0.1349,99.3612,4
HW_arrival_15min,National,22:00-22:15,,1320.0,1335.0,0.0756,99.4368,2
HW_arrival_15min,National,22:15-22:30,,1335.0,1350.0,0.0,99.4368,0
HW_arrival_15min,National,22:30-22:45,,1350.0,1365.0,0.0894,99.5262,2
HW_arrival_15min,National,22:45-23:00,,1365.0,1380.0,0.3056,99.8318,4
HW_arrival_15min,National,23:00-23:15,,1380.0,1395.0,0.074,99.9059,2
HW_arrival_15min,National,23:15-23:30,,1395.0,1410.0,0.0433,99.9492,1
HW_arrival_15min,National,23:30-23:45,,1410.0,1425.0,0.0508,100.0,1
HW_arrival_15min,National,23:45-24:00,,1425.0,1440.0,0.0,100.0,0
HW_departure_60min,National,00:00-01:00,,0.0,60.0,0.0,0.0,0
HW_departure_60min,National,01:00-02:00,,60.0,120.0,0.0,0.0,0
HW_departure_60min,National,02:00-03:00,,120.0,180.0,0.0,0.0,0
HW_departure_60min,National,03:00-04:00,,180.0,240.0,0.1792,0.1792,4
HW_departure_60min,National,04:00-05:00,,240.0,300.0,2.6606,2.8398,50
HW_departure_60min,National,05:00-06:00,,300.0,360.0,11.5496,14.3894,202
HW_departure_60min,National,06:00-07:00,,360.0,420.0,17.6982,32.0876,356
HW_departure_60min,National,07:00-08:00,,420.0,480.0,27.6668,59.7544,594
HW_departure_60min,National,08:00-09:00,,480.0,540.0,16.4662,76.2206,371
HW_departure_60min,National,09:00-10:00,,540.0,600.0,6.294,82.5146,139
HW_departure_60min,National,10:00-11:00,,600.0,660.0,3.4517,85.9663,74
HW_departure_60min,National,11:00-12:00,,660.0,720.0,1.7835,87.7498,39
HW_departure_60min,National,12:00-13:00,,720.0,780.0,1.979,89.7288,47
HW_departure_60min,National,13:00-14:00,,780.0,840.0,2.4382,92.167,48
HW_departure_60min,National,14:00-15:00,,840.0,900.0,1.4452,93.6123,38
HW_departure_60min,National,15:00-16:00,,900.0,960.0,1.9083,95.5206,25
HW_departure_60min,National,16:00-17:00,,960.0,1020.0,1.1141,96.6347,19
HW_departure_60min,National,17:00-18:00,,1020.0,1080.0,0.5542,97.1889,14
HW_departure_60min,National,18:00-19:00,,1080.0,1140.0,0.8608,98.0497,20
HW_departure_60min,National,19:00-20:00,,1140.0,1200.0,0.4941,98.5438,9
HW_departure_60min,National,20:00-21:00,,1200.0,1260.0,0.4292,98.973,8
HW_departure_60min,National,21:00-22:00,,1260.0,1320.0,0.5321,99.5052,10
HW_departure_60min,National,22:00-23:00,,1320.0,1380.0,0.4007,99.9059,7
HW_departure_60min,National,23:00-24:00,,1380.0,1440.0,0.0941,100.0,2
HW_arrival_60min,National,00:00-01:00,,0.0,60.0,0.0,0.0,0
HW_arrival_60min,National,01:00-02:00,,60.0,120.0,0.0,0.0,0
HW_arrival_60min,National,02:00-03:00,,120.0,180.0,0.0,0.0,0
HW_arrival_60min,National,03:00-04:00,,180.0,240.0,0.2381,0.2381,5
HW_arrival_60min,National,04:00-05:00,,240.0,300.0,1.2581,1.4963,24
HW_arrival_60min,National,05:00-06:00,,300.0,360.0,6.7949,8.2912,121
HW_arrival_60min,National,06:00-07:00,,360.0,420.0,16.121,24.4122,305
HW_arrival_60min,National,07:00-08:00,,420.0,480.0,25.6957,50.1078,550
